timestamp,open,high,low,close,volume
2025-08-21 00:00:00,2920.45,2945.20,2908.10,2935.80,1852.43
2025-08-21 01:00:00,2935.80,2950.10,2922.30,2941.55,1920.75
2025-08-21 02:00:00,2941.55,2968.45,2930.20,2960.35,2105.12
2025-08-21 03:00:00,2960.35,2975.90,2945.50,2952.70,2004.37
2025-08-21 04:00:00,2952.70,2965.20,2938.85,2948.15,1743.18
2025-08-21 05:00:00,2948.15,2960.70,2935.25,2955.95,1609.84
2025-08-21 06:00:00,2955.95,2972.10,2944.30,2968.40,1892.77
2025-08-21 07:00:00,2968.40,2985.60,2955.10,2978.25,2203.91
2025-08-21 08:00:00,2978.25,2992.45,2964.90,2986.10,2054.38
2025-08-21 09:00:00,2986.10,3000.25,2972.35,2995.55,2133.57
